by,category,created,desc,goal,location,shares,title,total
,,,,,,,,
"5,443",Medical,"Created August 27, 2018","

                        My dearest friend and YOUR favorite castaway, Dawn Wells  ( Mary Ann from ‘Gillian’s Island’ ),needs YOU ! , After 2008, like many of us, Dawn suffered through the banking crash and lost everything including her life savings in addition, to a life -threatening surgery which came close to killing her.,  Dawn was a victim of an unexpected accident that required hospitalization for two months and a  very long time to rest and heal,   Dawn needs $194,000 to alleviate penalties by the IRS( which are compounded daily) and to pay her hospital costs,   Dawn is living one of the greatest fears we Americans have, an uncertain future. Should any of you out there wish to contribute a small some to  help a  woman who gave so many people Joy over the years, it would be so appreciated. God Bless,
                    ","
 of $194,000 goal","GLENDALE, CA",6.6k,Help Dawn Wells,"$204,275 "
,,,,,,,,
"12,169",Medical,"Created July 6, 2018","

                        On July 4th at around 7pm, my grandfather Rodolfo Rodriguez  whose 92 years of age was going for his daily walk around the block when he was assaulted by and African American lady and five other guys. He is doing really bad, has a lot of bruises on his face and a broken cheekbone.,El 4 de julio a eso de las 7 p.m., mi abuelo Rodolfo Rodríguez, de 92 años de edad, salía para su paseo diario por la cuadra cuando fue asaltado por una mujer afroamericana y otros cinco muchachos. Él está yendo muy mal, tiene muchos moretones en la cara, ha perdido la vista en su ojo derecho y tiene un pómulo roto. ,Pedimos ayuda a las personas porque su tratamiento será largo y costoso para su recuperación.
                    ","
 of $15,000 goal","LOS ANGELES, CA",27k,92 Yr old Man Brutally Attacked.,"$327,365 "
,,,,,,,,
"2,410",Medical,"Created July 18, 2018","

                        I’vee been fighting cancer for the past 5 years and it’s going nowhere anymore. The fund i need is for a trial treatment. I need to survive for my wife, 4 years old son and the society. Due to withdrawal guidelines, my Power of Attorney, Cameron McHugh, will be withdrawing the funds on my behalf
                    ","
 of $500,000 goal","HOUSTON, TX",341,Kdafoos ... Cancer ...,"$676,170 "
,,,,,,,,
855,Medical,"Created June 22, 2018","

                        43 year old Philip Defonte who is a husband & father of 3 young boys was diagnosed with a glioblastoma (brain cancer) in late October of 2016 and had surgery right away to remove tumor from back of brain. Philip has been fighting this terrible disease since 2016.,Philip did chemotherapy post the 2016 operation and then 90 days ago in March of 2018 he had surgery to remove a re occurring glioblastoma that moved to front lobe of brain. ,Philip’s doctor who is at NYU hospital performed both surgeries and currently has him under a combination treatment of radiation and an immunotherapy. ,Last week Philip found out that there has been another recurrence of the glioblastoma. Philip’s family and friends are exploring options which include an Autologous T Cell Harvest, Expansion & Transplant in Europe. There are significant costs associated with this treatment, however have proven to have tremendous results. We are all optimistic that this Autologous T Cell Harvest, Expansion & Transplant can help to eliminate this glioblastoma. The cost of this procedure is $500,000. We are seeking to raise $250,000 to make this treatment possible.,Please contribute what you can afford so Philip Defonte can undergo the Autologous T Cell Transplant procedure. Please be as generous as possible to the Defonte Family as they have been so generous to all of us.,Team Phil D is a group of Philip Defonte’s Friends and Family who setup this account to raise the funds for Philips treatment. ,All of the funds raised will be sent directly to Philip and Toni Ann Defonte as the beneficiaries of this campaign. ,The funds will be used for treatment , all associated expenses the patient will have in traveling  and remaining balance if any to support his family wife and kids while he recovers.,******** Message From Phil********,I am so blessed to have such generous family and friends; and I thank God for that, but to thank someone for giving you the means to save your life is not easy to put into words. The wishes of love, caring and kindness that came through everyone’s thoughtful and generous messages and donations both on and off of the go fund me page converts my gratitude and appreciation of you all to happiness and hopefulness for the future. God has answered my prayers through your kindness and medical technology. You have given me hope and confidence when I thought my life was over. I will update you with my health and treatment periodically. ,Thank you and God bless you. ,Philip Defonte
                    ","
 of $250,000 goal","STATEN ISLAND, NY",1.8k,AUTOLOGOUS T CELL TRANSPLANT,"$243,320 "
,,,,,,,,
"1,173",Medical,"Created October 1, 2018","

                        Our brother and friend, Pajtim Krasniqi, was badly injured in a motorcycle accident Sept. 15, and is now fighting to save his leg. ,He has been in Trauma Intensive Care Unit for two weeks now, and we are fighting right along side of him. ,This week his doctors at Westchester Medical Center said there’s nothing more they can do to save the leg and that they’d need to amputate.,We diligently sought out second opinions and specialists at NYU said there is hope. ,Unfortunately, Pajtim’s insurance isn’t accepted for the transport nor for the care he needs from specialty at NYU. Already the medical bills have quickly begun depleting his, and our, bank accounts. ,These new doctors are hopeful of reconstruction of his left leg. He can move his toes and the doctors at Westchester Medical Center were able to reroute an artery to keep blood flow. So there is still life to the leg and the specialists at NYU believe they can save it. ,Pajtim’s whole life has been dedicated to fitness and the outdoors. He works out religiously and treats his body like his temple, never smoking nor drinking, which is why doctors believe he’s beating the odds right now. ,He’s a fighter. And we’re trying to give him a fighter’s chance. We’re hoping with these additional surgeries that he will not only save the leg, but work hard afterward to regain some of the joys he once lived daily. ,If you can help us offset some of Pajtim’s extraordinary medical costs, and hopefully save his leg, it would mean so much.
                    ","
 of $500,000 goal","NEW YORK, NY",2.1k,Saving Pajtim’s Leg,"$190,189 "
